1_id,1_span,1_anno_default_ns:cat,1_meta_annis:doc,2_id,2_span,2_anno_default_ns:cat,Stellung,Ausgabereihenfolge,Eigenname,Fehltreffer,random,wordcount
31926590,aller vberiger vnkosten,NP,AnnusChristi-1597,31926589,aller vberiger,NP,prae,1,n,n,NA,2
31926924,als auff Jhrer Mayestät / disposition vnnd Bestallung,PP,AnnusChristi-1597,31926927,Jhrer Mayestät,NP,prae,2,n,n,NA,2
31926940,zu dieser Extraordinari vnderhaltung,PP,AnnusChristi-1597,31926945,dieser Extraordinari,NP,prae,3,n,n,NA,2
31927083,Wie nun solche Einbringung ins Werck zurichten wirdt der Ständt gutachten,NP,AnnusChristi-1597,31927095,der Ständt,NP,prae,4,n,n,NA,2
31927529,der Ständ gutachten,NP,AnnusChristi-1597,31927528,der Ständ,NP,prae,5,n,n,NA,2
31927973,der Ständ Raht,NP,AnnusChristi-1597,31927972,der Ständ,NP,prae,6,n,n,NA,2
31928301,vmb des schnöden Gelts willen,PP,AnnusChristi-1597,31928303,des schnöden Gelts,NP,prae,7,n,n,NA,3
31928637,zu des Landtags beschluß,PP,AnnusChristi-1597,31928639,des Landtags,NP,prae,8,n,n,NA,2
31928979,laut des Regenspurgischen Reichstags vergleichung,PP,AnnusChristi-1597,31928984,des Regenspurgischen Reichstags,NP,prae,9,n,n,NA,3
31928990,auff jedes Landes Gränitz,PP,AnnusChristi-1597,31928992,jedes Landes,NP,prae,10,n,n,NA,2
31929751,mit der Verordneten gemeinen / vnsern auch lieben vnnd getrewen Landtschafft,PP,AnnusChristi-1597,31929753,der Verordneten,NP,prae,11,n,n,NA,2
31930498,dieser aller außgewöhlten bewöhrung,NP,AnnusChristi-1597,31930497,dieser aller außgewöhlten,NP,prae,12,n,n,NA,3
31931145,gemeiner Landtschafft Eynnemmer,NP,AnnusChristi-1597,31931144,gemeiner Landtschafft,NP,prae,13,n,n,NA,2
31931281,welcher Vnterthan von einem gemeinen Hof oder Gut / dergleichen dienstbarkeit / daß er nämblich von Rossen oder Knechten etwas zu dem Heerwagen zuhalten schuldig / auff sich hat / daß derselb auff diß Gut / darvon solche Dienstbarkeit herrührt / mit keiner Rüstung oder Wöhr weiter nit belegt / sonder allein / damit er in seiner gebür zu dem Heerwagen / wolgerüst erscheinen solle / vermahnet werde,NP,AnnusChristi-1597,31931280,welcher Vnterthan von einem gemeinen Hof oder Gut / dergleichen,NP,prae,14,n,n,NA,10
31931561,deiner Hoffmarchs gemusterte Vnterthanen,NP,AnnusChristi-1597,31931560,deiner Hoffmarchs,NP,prae,15,n,n,NA,2
31931930,der Niderlanden Gubernator,NP,AnnusChristi-1597,31931929,der Niderlanden,NP,prae,16,n,n,NA,2
31932037,deß Spanischen Volcks zu Tournhaut bericht,NP,AnnusChristi-1597,31932036,deß Spanischen Volcks zu Tournhaut,NP,prae,17,n,n,NA,5
31932262,der Staaden Volck,NP,AnnusChristi-1597,31932261,der Staaden,NP,prae,18,n,n,NA,2
31932267,auch wider Graff Moritzens befelch,PP,AnnusChristi-1597,31932270,Graff Moritzens,NP,prae,19,j,n,NA,2
31932289,des Feindts ankunfft,NP,AnnusChristi-1597,31932288,des Feindts,NP,prae,20,n,n,NA,2
31932464,auch des Sultzischen Regiments Obrister Leutenampt,NP,AnnusChristi-1597,31932467,des Sultzischen Regiments,NP,prae,21,n,n,NA,3
31932491,auch des Monsor Laberlotta,NP,AnnusChristi-1597,31932493,des Monsor Laberlotta,NP,prae,22,j,n,NA,3
31933650,vor der Vscocchen eynfäll,PP,AnnusChristi-1597,31933654,der Vscocchen,NP,prae,23,n,n,NA,2
31933772,des Hauses Oesterreich Vnterthanen,NP,AnnusChristi-1597,31933771,des Hauses Oesterreich,NP,prae,24,j,n,NA,3
31934137,keines Pfennings werth,NP,AnnusChristi-1597,31934136,keines Pfennings,NP,prae,25,n,n,NA,2
31934163,eines halben Thalers werth,NP,AnnusChristi-1597,31934162,eines halben Thalers,NP,prae,26,n,n,NA,3
31934995,der Landtschafft Kriegßvolck,NP,AnnusChristi-1597,31934994,der Landtschafft,NP,prae,27,n,n,NA,2
31935713,von einem jeden Geistlicher vnd Weltlicher Obrigkeit angeseßnen Vnterthanen,PP,AnnusChristi-1597,31935718,Geistlicher vnd Weltlicher Obrigkeit,NP,prae,28,n,n,NA,4
31936212,der Königen zu Behaimb Stätten,NP,AnnusChristi-1597,31936211,der Königen zu Behaimb,NP,prae,29,n,n,NA,4
31936424,auch der Geistlichen Personen Lehenleut / Freysässen vnd Frey Richter / Wohnungen,NP,AnnusChristi-1597,31936426,der Geistlichen Personen Lehenleut / Freysässen vnd Frey Richter,NP,prae,30,n,n,NA,9
31936849,der berürten Juden Häuser,NP,AnnusChristi-1597,31936848,der berürten Juden,NP,prae,31,n,n,NA,3
31937878,des Duca de Guysa Kriegßvolck,NP,AnnusChristi-1597,31937877,des Duca de Guysa,NP,prae,32,j,n,NA,4
