tok	satz_id	graphtoken	syntoken_id	syntoken_tok_id	graphtoken_id	syntoken_belebtheit	graphtoken_pos	syntoken_lemma	satz_ambig	syntoken	graphtoken_lemma	syntoken_pos	graphtoken_initial	syntoken_ambig	graphtoken_orth	graphtoken_belebtheit	add_place	add_id	label_place	label_id	meta..doc	Year	Place	SENT_INT	upperCase	Animacy	Animacy3	LemmaFreq	LogFreq	Animacy6
einhalt	13035	einhalt	11478	14	10006	abstrakt	NN	einhalt	false	einhalt	einhalt	NN	e	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	1	0	0
Milche	13036	Milche	12913	180	10030	tierisch	NN	milchkuh	false	Milche Khöe	milch	NN	M	false	upperInitial	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	1	1	24	1.38021124171161	1
Khöe	13036	Khöe	12913	180	10031	tierisch	NN	milchkuh	false	Milche Khöe	kuh	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	73	1.86332286012046	2
Khöen	13038	Khöen	11516	290	10048	tierisch	NN	kuh	false	Khöen	kuh	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	73	1.86332286012046	2
milch	13038	milch	11518	302	10050	konkret	NN	milch	false	milch	milch	NN	m	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	24	1.38021124171161	1
geldt	13039	geldt	11533	390	10065	konkret	NN	geld	false	geldt	geld	NN	g	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	26	1.41497334797082	1
Khöe	13039	Khöe	11539	411	10071	tierisch	NN	kuh	false	Khöe	kuh	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	73	1.86332286012046	2
Khöe	13040	Khöe	11554	503	10086	tierisch	NN	kuh	false	Khöe	kuh	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	73	1.86332286012046	2
geldt	13041	geldt	11560	527	10092	konkret	NN	geld	false	geldt	geld	NN	g	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	26	1.41497334797082	1
butter	13042	butter	11566	561	10098	konkret	NN	butter	false	butter	butter	NN	b	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	7	0.845098040014257	1
milch	13042	milch	11568	572	10100	konkret	NN	milch	false	milch	milch	NN	m	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	24	1.38021124171161	1
schaden	13045	schaden	11602	758	10134	abstrakt	NN	schaden	false	schaden	schaden	NN	s	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	42	1.6232492903979	0
Kälbern	13046	Kälbern	11615	837	10147	tierisch	NN	kalb	false	Kälbern	kalb	NN	K	false	upperInitial	tierisch	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	2	2	5	0.698970004336019	2
weise	13047	weise	11630	926	10162	menschlich	NN	weise	false	weise	weise	NN	w	false	lowerCase	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	3	2	12	1.07918124604762	3
Bademoder	13047	Bademoder	11632	938	10164	menschlich	NN	bademutter	false	Bademoder	bademutter	NN	B	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	3	0.477121254719662	3
Jahren	13048	Jahren	11650	1042	10182	abstrakt Maß	NN	jahr	false	Jahren	jahr	NN	J	false	upperInitial	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	305	2.48429983934679	0
kindt	13048	kindt	11653	1060	10185	menschlich	NN	kind	false	kindt	kind	NN	k	false	lowerCase	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	3	2	113	2.05307844348342	3
gebrauch	13048	gebrauch	11659	1098	10191	abstrakt	NN	gebrauch	false	gebrauch	gebrauch	NN	g	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	1	0	0
Tauff	13048	Tauff	11662	1125	10195	abstrakt	NN	taufe	false	Tauff	taufe	NN	T	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	10	1	0
Bademoder	13049	Bademoder	11674	1180	10207	menschlich	NN	bademutter	false	Bademoder	bademutter	NN	B	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	3	0.477121254719662	3
Kindt	13049	Kindt	11676	1194	10209	menschlich	NN	kind	false	Kindt	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
worter	13050	worter	11683	1228	10216	abstrakt	NN	wort	false	worter	wort	NN	w	false	lowerCase	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	60	1.77815125038364	0
dhoeren	13050	dhoeren	11692	1289	10225	konkret	NN	tür	false	dhoeren	tür	NN	d	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	30	1.47712125471966	1
kindt	13051	kindt	11698	1317	10231	menschlich	NN	kind	false	kindt	kind	NN	k	false	lowerCase	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	3	2	113	2.05307844348342	3
dhoeren	13051	dhoeren	11707	1366	10240	konkret	NN	tür	false	dhoeren	tür	NN	d	false	lowerCase	konkret	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	1	1	30	1.47712125471966	1
Nachbar	13052	Nachbar	11472	1393	10247	menschlich	NN	*	false	Nachbar frouwens	nachbar	NN	N	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	10	1	3
frouwens	13052	frouwens	11472	1393	10248	menschlich	NN	*	false	Nachbar frouwens	frau	NN	f	false	lowerCase	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	3	2	197	2.29446622616159	3
Kindes	13052	Kindes	11719	1436	10254	menschlich	NN	kind	false	Kindes	kind	NN	K	false	upperInitial	menschlich	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	3	2	113	2.05307844348342	3
tags	13055	tags	11751	1578	10286	abstrakt Maß	NN	tag	false	tags	tag	NN	t	false	lowerCase	abstrakt Maß	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	0	0	0	117	2.06818586174616	0
Argwohn	13056	Argwohn	11765	1644	10300	abstrakt	NN	argwohn	false	Argwohn	argwohn	NN	A	false	upperInitial	abstrakt	NA	NA	NA	NA	Ahaus1608	1608	Ahaus	TRUE	1	0	0	4	0.602059991327962	0
